drone_id,missile_id,generation,proximity_best,duration_best_s,final_coarse_full_s
FY1,M2,3,-194.13599676548205,0.0,
FY1,M2,4,-194.13599676548205,0.0,
FY1,M2,5,-194.13599676548205,0.0,
FY1,M2,6,-194.13599676548205,0.0,
FY1,M2,7,-194.13599676548205,0.0,
FY1,M2,8,-194.13599676548205,0.0,
FY1,M2,9,-181.66960576103997,0.0,
FY1,M2,10,-154.05420167472147,0.0,
FY1,M2,11,-120.75656645601559,0.0,
FY1,M2,12,-118.38568271760265,0.0,
FY1,M2,13,-102.33700178313357,0.0,
FY1,M2,14,-102.33700178313357,0.0,
FY1,M2,15,-102.33700178313357,0.0,
FY1,M2,16,-102.33700178313357,0.0,
FY1,M2,17,-102.33700178313357,0.0,
FY1,M2,18,-97.26325381280884,0.0,
FY1,M2,19,-95.83810053710818,0.0,
FY1,M2,20,-93.40909721468135,0.0,
FY1,M2,21,-93.40909721468135,0.0,
FY1,M2,22,-88.15049802891751,0.0,
FY1,M2,23,-88.15049802891751,0.0,
FY1,M2,24,-86.77754051795075,0.0,
FY1,M2,25,-86.77754051795075,0.0,
FY1,M2,26,-86.77754051795075,0.0,
FY1,M2,27,-86.77754051795075,0.0,
FY1,M2,28,-85.17354507959605,0.0,
FY1,M2,29,-83.34657029105915,0.0,
FY1,M2,30,-83.34657029105915,0.0,
FY1,M2,31,-82.73657014015689,0.0,
FY1,M2,32,-82.73657014015689,0.0,
FY1,M2,33,-82.73657014015689,0.0,
FY1,M2,34,-82.73657014015689,0.0,
FY1,M2,35,-82.50818100784608,0.0,
FY1,M2,36,-82.50818100784608,0.0,
FY1,M2,37,-82.50818100784608,0.0,
FY1,M2,38,-82.50818100784608,0.0,
FY1,M2,39,-82.50818100784608,0.0,
FY1,M2,40,-82.50818100784608,0.0,
FY1,M2,41,-82.50818100784608,0.0,
FY1,M2,42,-82.50099856853024,0.0,
FY1,M2,43,-82.50099856853024,0.0,
FY1,M2,44,-82.49794881169349,0.0,
FY1,M2,45,-82.49067288036343,0.0,
FY1,M2,46,-82.49067288036343,0.0,
FY1,M2,47,-82.49067288036343,0.0,
FY1,M2,48,-82.48958379183223,0.0,
FY1,M2,49,-82.48958379183223,0.0,
FY1,M2,50,-82.48958379183223,0.0,
FY1,M2,51,-82.48958379183223,0.0,
FY1,M2,52,-82.48958379183223,0.0,
FY1,M2,53,-82.48955049015777,0.0,
FY1,M2,54,-82.48944368205002,0.0,
FY1,M2,55,-82.48944368205002,0.0,
FY1,M2,56,-82.48944368205002,0.0,
FY1,M2,57,-82.48944368205002,0.0,
FY1,M2,58,-82.48944368205002,0.0,
FY1,M2,59,-82.48944263780024,0.0,
FY1,M2,60,-82.48944263780024,0.0,
FY1,M2,61,-82.48942501833604,0.0,
FY1,M2,62,-82.48942501833604,0.0,
FY1,M2,63,-82.48942024705845,0.0,
FY1,M2,64,-82.48942024705845,0.0,
FY1,M2,65,-82.48942024705845,0.0,
FY1,M2,66,,0.0,
FY1,M2,67,,0.0,
FY1,M2,68,,0.0,
