drone_id,stage,generation,best_score,mean_score
FY1,duration_proxy,127,4.832400788007369,4.83214976121399
FY1,duration_proxy,128,4.832400788007369,4.8321685323389065
FY1,duration_proxy,129,4.832428830042405,4.832190714763635
FY1,duration_proxy,130,4.832428830042405,4.832215005671287
FY1,duration_proxy,131,4.832428830042405,4.832224723821284
FY1,duration_proxy,132,4.832436032447846,4.832244803640149
FY1,duration_proxy,133,4.832452228930741,4.832265372615652
FY1,duration_proxy,134,4.832452228930741,4.832284418852471
FY1,duration_proxy,135,4.832452228930741,4.83230122398813
FY1,duration_proxy,136,4.8324693602310775,4.832313880661742
FY1,duration_proxy,137,4.8324693602310775,4.832326180527249
FY1,duration_proxy,138,4.8324693602310775,4.83233955347208
FY1,duration_proxy,139,4.8324693602310775,4.832352797394555
FY1,duration_proxy,140,4.83247310939769,4.832359368193512
FY1,duration_proxy,141,4.83247310939769,4.832369420956204
FY1,duration_proxy,142,4.83247310939769,4.832374109637203
FY1,duration_proxy,143,4.83247310939769,4.8323859182139355
FY1,duration_proxy,144,4.83247310939769,4.832392770087675
FY1,duration_proxy,145,4.83247310939769,4.832396536052802
FY1,duration_proxy,146,4.83247310939769,4.83239829498757
FY1,duration_proxy,147,4.83247310939769,4.832402096100247
FY1,duration_proxy,148,4.83247310939769,4.832406901781064
FY1,duration_proxy,149,4.83247310939769,4.832414430134659
FY1,duration_proxy,150,4.83247310939769,4.832417131803171
FY1,duration_proxy,151,4.83247310939769,4.832421110784021
FY1,duration_proxy,152,4.832483216958417,4.832425978409162
FY1,duration_proxy,153,4.832483216958417,4.8324301422359515
FY1,duration_proxy,154,4.832483216958417,4.832432459549501
FY1,duration_proxy,155,4.832483216958417,4.832437092410253
FY1,duration_proxy,156,4.832485767752841,4.832440833732917
FY1,duration_proxy,157,4.832485767752841,4.832443883725598
FY1,duration_proxy,158,4.832485767752841,4.832446957759795
FY1,duration_proxy,159,4.832485767752841,4.832449396383761
FY1,duration_proxy,160,4.832485767752841,4.832452295029187
FY1,duration_proxy,161,4.832485767752841,4.8324534789432665
FY1,duration_proxy,162,4.832485767752841,4.832456221685268
FY1,duration_proxy,163,4.832487863044252,4.832459858287712
FY1,duration_proxy,164,4.832487863044252,4.832461202047623
FY1,duration_proxy,165,4.832487863044252,4.832463223948743
FY1,duration_proxy,166,4.832487863044252,4.832464497144699
FY1,duration_proxy,167,4.832491118898271,4.832466635199481
FY1,duration_proxy,168,4.832491118898271,4.832468541258396
FY1,duration_proxy,169,4.832491118898271,4.832470020831737
FY1,duration_proxy,170,4.832491118898271,4.832471854655817
FY1,duration_proxy,171,4.832491118898271,4.832474074909824
FY1,duration_proxy,172,4.832491118898271,4.832475161394949
FY1,duration_proxy,173,4.83249366315452,4.83247661046501
FY1,duration_proxy,174,4.83249366315452,4.832477293653326
